FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1
550,560,6,Bluegrass ADD,IP20080348,,Improve safety and congestion along US 62 (Oddville Ave) from Pine Street to KY 392 (Republican Pike) in Cynthiana.,Reconstruction,Modernize Roadway-Rural,1,Harrison,049-US-0062  -000,9.449,10.259,Existing,-17.36281477,560
712,561,6,Bluegrass ADD,IP20080349,,"Improve safety, freight mobility. and geometric deficiencies along KY 32 from Sea Biscuit Way to US 27 (Cynthiana Bypass).",Reconstruction,Modernize Roadway-Rural,1,Harrison,049-KY-0032  -000,8.05,8.303,Existing,0.567595622,561
507,562,6,Northern Kentucky ADD,IP20080356,6-1086,ADDRESS DEFICIENCIES OF BRIDGE OVER LICKING RIVER ON WEST 4TH STREET (KY 8) IN COVINGTON/NEWPORT AT KENTON/CAMPBELL CO LN. (059B00037N) *CAMPBELL CO MPS ARE 0.0-0.19,AM-BRIDGE (P),Modernize Roadway-Rural,1,Kenton,059-KY-0008  -000,7.57,7.662,Existing,-29.73305834,562
654,563,6,Northern Kentucky ADD,IP20080357,6-80002,RECONSTRUCT KY 236 (STEVENSON ROAD) FROM ALICE STREET TO JACQUELINE DRIVE.(18CCN),RECONSTRUCTION(O),Maintenance Improvement,1,Kenton,059-KY-0236  -000,0,1.436,Existing,-19.75277418,563
670,564,6,Northern Kentucky ADD,IP20080359,,"Provide connectivity, improve mobility, and reduce congestion along KY 536 from KY 17 to KY 16; include multi-modes.",Major Widening,Modernize Roadway-Rural,1,Kenton,059-KY-0536  -000,4.602,6.092,Existing,3.119949133,564
491,565,6,Northern Kentucky ADD,IP20080361,6-450,IMPROVE SAFETY AND REDUCE CONGESTION ALONG KY-1303 (TURKEYFOOT RD) FROM DUDLEY RD TO US-25 (DIXIE HWY). (18CCR),CONGESTION MITIGTN(O),Modernize Roadway-Rural,1,Kenton,059-KY-1303  -000,5.01,6.248,Existing,21.96384162,565
449,566,6,Bluegrass ADD,IP20110111,,Improve safety and mobility and address geometric deficiencies along US 62 (Oddville Pike) from KY 392 (Republican Pike) to Salem Pike.,Spot Improvement,Modernize Roadway-Rural,1,Harrison,049-US-0062  -000,10.259,11.7,Existing,-2.606389669,566
596,567,6,Buffalo Trace ADD,IP20110118,1-Jun,IMPROVE SAFETY ALONG KY 2228 FROM KY 9 TO KY 8. (16CCN),SAFETY(P),Modernize Roadway-Rural,1,Bracken,012-KY-2228  -000,0,0.287,Existing,-0.306693912,567
818,568,6,Northern Kentucky ADD,IP20130008,6-446,PROVIDE EAST-WEST CONNECTIVITY AND IMPROVED MOBILITY FROM KY-237 (PLEASANT VALLEY ROAD) THRU KY-842 (HOPEFUL CHURCH ROAD) TO MALL ROAD/I-75 INTERCHANGE. (18CCR),NEW ROUTE(O),Construct Road in New Location,1,Boone,008-US-0042  -000,12.508,13.489,Existing,132.2431753,568
429,569,6,Northern Kentucky ADD,IP20130018,,Improve mobility and reduce congestion at the interchange of I-275 and KY 3076 (Mineola Pike).,Reconstruction,Other Improvement Types,1,Boone,008-I-0275  -000,1.7,2.4,Existing,0,0
