Join_Count,TARGET_FID,JOIN_FID,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,EEC,Roadway,ProjectNo,Routeuniqu,BEGINNINGMILE,ENDINGMILE
1,236,248,1581078,115-KY-0055  -000,4.362,4.5,6.27129044,R2L,391,115-KY-0055  -000,0,4.551
1,237,232,1149249,078-US-0068  -000,9.042,9.1459765,7.030703889,R2L,371,078-US-0068  -000,0,9.364
1,239,262,616244,047-KY-1600  -000,1.735,1.885,16.96697504,R2L,308,047-KY-1600  -000,0,3.316
1,243,639,1488471,106-KY-0055  -000,0.56,0.604,6.55324548,R2L,422,106-KY-0055  -000,0,1.354
1,244,928,1391391,099-KY-0011  -000,15.8319765,15.8719765,12.25086094,R2L,831,099-KY-0011  -000,14,16.7
1,254,705,173340,015-KY-0245  -000,5.8199765,5.8829765,7.09781758,R2L,452,015-KY-0245  -000,4.425,6.415
1,286,505,850139,057-KY-1980  -000,2.2229765,3.058,10.28541008,R2L,655,057-KY-1980  -000,0,3.205
1,288,891,323560,026-US-0421  -000,15.7779765,15.887,8.384216972,R2L,879,026-US-0421  -000,15.5,17
1,294,891,325014,026-US-0421  -000,16.122,16.1809765,6.416020123,R2L,879,026-US-0421  -000,15.5,17
1,295,347,1519182,109-US-0068  -000,11.9179765,12.1659765,7.170002447,R2L,312,109-US-0068  -000,7.404,13.531
1,299,261,17981,002-KY-0100  -000,3.942,4.14,7.864772763,R2L,226,002-KY-0100  -000,3.1,4.2
1,300,242,1309085,093-KY-0329  -000,6.8139765,6.8469765,13.292649,R2L,404,093-KY-0329  -000,6.65,7.07
1,319,705,173274,015-KY-0245  -000,6.251,6.2779765,5.98473031,R2L,452,015-KY-0245  -000,4.425,6.415
1,321,639,1488475,106-KY-0055  -000,0.366,0.435,11.58855691,R2L,422,106-KY-0055  -000,0,1.354
1,333,933,140665,013-KY-0015  -000,17.2719765,17.4269765,17.37447705,R2L,851,013-KY-0015  -000,16.75,17.9
1,336,891,323493,026-US-0421  -000,16.8859765,16.915,12.42138352,R2L,879,026-US-0421  -000,15.5,17
1,358,891,325005,026-US-0421  -000,15.887,15.936,6.573082256,R2L,879,026-US-0421  -000,15.5,17
1,362,91,17803,002-KY-0100  -000,13.1189765,13.2199765,9.95872127,R2L,195,002-KY-0100  -000,13.1,14.1
1,364,881,902210,060-KY-0160  -000,8.8609765,8.91,7.372085349,R2L,910,060-KY-0160  -000,8.198,9.42
1,365,574,313067,025-US-0060  -000,16.461,16.677,6.396300847,R2L,657,025-US-0060  -000,14.21,17.032
1,367,557,525907,041-US-0025  -000,21.735,22.143,11.19933327,R2L,597,041-US-0025  -000,22.114,22.418
1,374,779,1469089,104-US-0127  -000,14.8799765,14.9449765,7.107191708,R2L,750,104-US-0127  -000,14.142,18.902
1,374,783,1469089,104-US-0127  -000,14.8799765,14.9449765,7.107191708,R2L,682,104-US-0127  -000,14.142,18.195
1,377,381,288506,024-KY-0115  -000,2.158,2.32,8.671592689,R2L,117,024-KY-0115  -000,1.261,2.663
1,378,575,1444883,102-US-0025  -000,15.1669765,15.419,7.790741829,R2L,738,102-US-0025  -000,15.116,15.666
1,378,682,1444883,102-US-0025  -000,15.1669765,15.419,7.790741829,R2L,739,102-US-0025  -000,11.893,15.666
1,390,639,1488446,106-KY-0055  -000,0.865,1.005,6.482790785,R2L,422,106-KY-0055  -000,0,1.354
1,395,203,811277,056-KY-0155  -000,4.756,4.85,13.39937564,R2L,400,056-KY-0155  -000,4.4,5.75
1,395,732,811277,056-KY-0155  -000,4.756,4.85,13.39937564,R2L,432,056-KY-0155  -000,4.4,5
1,406,933,140673,013-KY-0015  -000,17.031,17.137,6.229313178,R2L,851,013-KY-0015  -000,16.75,17.9
1,408,517,1437076,102-KY-0461  -000,7.0169765,7.5479765,10.33611953,R2L,710,102-KY-0461  -000,7,9.404
1,410,779,1469110,104-US-0127  -000,16.3449765,16.4369765,8.437943148,R2L,750,104-US-0127  -000,14.142,18.902
